operator IDs,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-05,2024-01-0524h Operator Performance,2024-01-05 24h Operator Performance,2024-01-05,2024-01-10
1,99.98203934001658,99.98203934001658,99.98203934001658,99.98201386609985,99.97615443720878,99.97615443720878,99.97615443720878,99.97615443720878,99.99403910348116
2,99.93428801429191,99.93428801429191,99.93426318255177,99.93428909852597,99.89933810167079,99.89938734781087,99.89938734781087,99.89938734781087,99.8753656014953
3,99.33935848352891,99.33935848352891,99.339386412161,99.34496608391564,99.01911714431044,99.02489911038357,99.02489911038357,99.02499501122848,99.04984657283546
4,99.98241912798875,99.98241912798875,99.98241912798875,99.98241912798875,99.95856785156283,99.95856785156283,99.95856785156283,99.95856785156283,99.99403910348116
5,99.46747170438557,99.46747170438557,99.46649139487704,99.46466488213662,99.86963578400743,99.87049689898981,99.87049689898981,99.87221083540095,99.96184115348747
6,99.76926127269768,99.76926127269768,99.76929742176557,99.76935357212255,99.69808737702252,99.70286271600138,99.70286271600138,99.7075053324234,99.81282662589327
7,99.92188526412195,99.92188526412195,99.92190763146351,99.92190763146351,99.81373542066989,99.81834480294552,99.81834480294552,99.82293464550007,99.71282124971843
8,99.80754252725767,99.80754252725767,99.80754252725767,99.80754252725767,98.40052470928025,98.41037037436786,98.41037037436786,98.41930227817544,99.90130591699152
9,99.641034974502,99.641034974502,99.64114316058205,99.64117984302216,99.44856218799491,99.44837782307357,99.44837782307357,99.44837993433397,98.23597951446354
10,99.99131944444444,99.99131944444444,99.99131944444444,99.99131944444444,99.98226918248105,99.98226918248105,99.98226918248105,99.98226918248105,99.991341991342
11,99.1358262221868,99.1358262221868,99.13568488088153,99.14123673520088,98.36484756923353,98.37008689851348,98.37008689851348,98.36472840098551,98.89677261071266
12,99.93277803886333,99.93277803886333,99.93274586128429,99.93274586128429,99.75655815138744,99.75672592446293,99.75672592446293,99.75679951239259,99.86538139049782
13,94.81885651600489,94.81885651600489,94.82023573918697,94.81150909482959,93.05168641127563,93.08360070957404,93.08360070957404,93.07669127031127,99.92219214560902
14,99.87825216327226,99.87825216327226,99.87827291773863,99.87827291773863,99.86307364346725,99.86305180868146,99.86305180868146,99.86305180868146,99.97973330947467
15,99.8198978876901,99.8198978876901,99.80874835654961,99.8087966229182,99.62948049708335,99.62962567581243,99.62962567581243,99.62967312584756,99.78761338655524
16,99.96199988616065,99.96199988616065,99.96200447420478,99.96200490418028,99.91205146537438,99.91421968719554,99.91421968719554,99.9142398914393,99.93374549747082
17,99.96420427183125,99.96420427183125,99.96420427183125,99.97227828023239,99.93657905129412,99.93656190996695,99.93656190996695,99.93652804103678,99.95662525072115
18,99.28802202977538,99.28802202977538,99.30220430482721,99.31608671847084,98.96180148247085,98.96198807748503,98.96198807748503,98.96191217420838,98.96673488704965
19,99.99156545209176,99.99156545209176,99.99156545209176,99.99156545209176,99.99171087533156,99.99171087533156,99.99171087533156,99.99171087533156,99.98370273794004
20,99.88173240272039,99.88173240272039,99.88173240272039,99.88173240272039,99.90477283932267,99.90477283932267,99.90477283932267,99.90477283932267,99.66057147999042
21,99.88700333250435,99.88700333250435,99.88684440030907,99.88689975842068,99.87467355459412,99.87467355459412,99.87467355459412,99.87467355459412,99.96234609501192
22,99.98399264883932,99.98399264883932,99.98397534580154,99.98397534580154,99.96811507791675,99.96811507791675,99.96811507791675,99.96811493252879,100
23,99.62644788319139,99.62644788319139,99.62629449458832,99.62629449458832,98.97435883443534,98.97440034336807,98.97440034336807,98.96458227278232,99.14315953768258
24,99.95089201327846,99.95089201327846,99.95089201327846,99.95089201327846,99.85378322669517,99.85393434375976,99.85393434375976,99.85393434375976,99.85328816950029
25,99.55465267131578,99.55465267131578,99.55465823090314,99.55196402358023,99.38367684119025,99.38459834447988,99.38459834447988,99.38364809504392,99.78174700296168
26,99.27837763758347,99.27837763758347,99.28179679055307,99.28178448615593,99.23300000028296,99.2330345164946,99.2330345164946,99.2329679876639,99.23067132553064
27,99.43289712761496,99.43289712761496,99.42931205997847,99.42756716012867,99.63440860769502,99.64568633150938,99.64568633150938,99.65082424241918,99.55337601482739
28,99.65910062977159,99.65910062977159,99.66082860813805,99.65999106082347,99.48154683126211,99.47546006107129,99.47546006107129,99.47547192305672,99.65427560636174
29,99.93660658713016,99.93660658713016,99.93661098065125,99.93660621669798,99.81797600874306,99.81909989817404,99.81909989817404,99.81796554588523,99.71341692187991
30,100,100,100,100,100,100,100,100,100
31,100,100,100,100,100,100,100,100,100
32,0,0,0,0,0,0,0,0,0
33,99.57386191428743,99.57386191428743,99.57386191428743,99.57386191428743,99.71387696709586,99.71387696709586,99.71387696709586,99.71387696709586,99.85994397759104
34,99.93010576741963,99.93010576741963,99.9300776027781,99.93007275615433,99.92765948649252,99.92766425044577,99.92766425044577,99.92765929721212,99.84500992627187
35,99.92864096527762,99.92864096527762,99.92864537310557,99.92864096912321,99.92296121970236,99.92298065060628,99.92298065060628,99.92297546278182,99.90427083135562
36,99.91341991341992,99.91341991341992,99.91341991341992,99.91341991341992,99.91452991452991,99.91452991452991,99.91452991452991,99.91452991452991,99.76087087026995
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,99.90153189359023,99.90153189359023,99.90152268666252,99.9015276138243,99.92158046057638,99.92157105704918,99.92157105704918,99.9215566088798,99.80933203448244
42,99.87737584304107,99.87737584304107,99.87737584304107,99.87737584304107,99.87631416202844,99.87631416202844,99.87631416202844,99.87631416202844,99.20155880177188
43,98.46193429794133,98.46193429794133,98.47851377143728,98.47829911780725,98.58387169181127,98.60031365040952,98.60031365040952,98.60031365040952,96.86500861363076
44,99.84116502776196,99.84116502776196,99.84116502776196,99.8258760526621,99.76637463496037,99.76637463496037,99.76637463496037,99.78213507625271,99.79509799005892
45,99.98370273794004,99.98370273794004,99.98370273794004,99.98370273794004,100,100,100,100,99.93404033431688
46,100,100,100,100,99.94747899159664,99.94747899159664,99.94747899159664,99.94747899159664,100
47,99.97635933806147,99.97635933806147,99.97635933806147,99.97635933806147,100,100,100,100,100
48,99.97750787224471,99.97750787224471,99.97750787224471,99.97750787224471,100,100,100,100,100
49,99.92952752151422,99.92952752151422,99.92952752151422,99.92952752151422,99.60668374680927,99.60668374680927,99.60668374680927,99.60668374680927,99.92862208527443
50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,95.27896995708154,95.27896995708154,95.27896995708154,95.27896995708154,96.23430962343096,96.65271966527197,96.65271966527197,97.07112970711297,97.45762711864407
52,99.93920972644378,99.93920972644378,99.93920972644378,99.93920972644378,99.69470960531216,99.69470960531216,99.69470960531216,99.69470960531216,99.75463288763783
53,99.93894993894993,99.93894993894993,99.93894993894993,99.93894993894993,99.63342635075159,99.63342635075159,99.63342635075159,99.63342635075159,99.93997599039616
54,0,0,0,0,0,0,0,0,0
55,99.81877891893332,99.81877891893332,99.82075009168635,99.8207491257647,99.67920749117901,99.67828311847227,99.67828311847227,99.67625235777457,99.67924468922641
56,0,0,0,0,0,0,0,0,0
57,90.76380387598441,90.76380387598441,91.15943581296973,91.51812474308723,97.43974086690004,97.86661838559893,97.86661838559893,98.23167746037436,99.8768472906404
58,99.7927531434695,99.7927531434695,99.79275398576205,99.79091186069019,99.72234760453443,99.72053725295847,99.72053725295847,99.72050515190583,99.89305191300436
59,99.69823060982229,99.69823060982229,99.69814423258094,99.69819982914761,99.67378381321967,99.67378288464782,99.67378288464782,99.67376740512151,99.50191337541015
60,99.61440658034992,99.61440658034992,99.6143521593344,99.61440866156694,99.82536805747436,99.82902120557243,99.82902120557243,99.83083227392912,99.6115475112464
61,99.78063808193328,99.78063808193328,99.78245585715116,99.78436884444243,99.78676702044757,99.78304268908067,99.78304268908067,99.7812231766634,99.76251868054759
62,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0
66,100,100,100,100,100,100,100,100,100
67,99.7129524721224,99.7129524721224,99.71178914371026,99.71411385766649,99.88866739721242,99.89035617317631,99.89035617317631,99.88866021115496,99.90058058087007
68,99.84151349441176,99.84151349441176,99.83272387702733,99.83424899420133,99.79846484666179,99.79846465943683,99.79846465943683,99.798501265627,99.87352960095049
69,99.90531196643602,99.90531196643602,99.90813595709355,99.90918922006706,99.91037774762152,99.90868383476163,99.90868383476163,99.91038435314134,99.91471532666867
70,99.88235561471056,99.88235561471056,99.88485591554375,99.88559315382699,99.92579812430174,99.92747774233715,99.92747774233715,99.92747774233715,99.94708102417928
71,100,100,100,100,100,100,100,100,99.93471218183595
72,99.3392725330206,99.3392725330206,99.31926506847645,99.3092940929062,99.35837412450505,99.38343691694362,99.38343691694362,99.38855182281593,99.78228671789422
73,99.93876841649046,99.93876841649046,99.93876841649046,99.93876841649046,99.942536075502,99.94254299617975,99.94254299617975,99.9425651157671,99.59312918451114
74,99.93920480471297,99.93920480471297,99.9391611351414,99.93916113514139,99.94352319557262,99.94355850217805,99.94355850217805,99.94359121092954,99.77289590591174
75,99.70070207440135,99.70070207440135,99.70578978694864,99.70583291545394,99.72581075401669,99.71603524789869,99.71603524789869,99.71101908839256,99.49333759926627
76,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
79,99.78991596638656,99.78991596638656,99.78991596638656,99.78991596638656,100,100,100,100,100
80,100,100,100,100,100,100,100,100,100
81,98.73949579831933,98.73949579831933,98.73949579831933,98.73949579831933,96.56652360515021,96.98275862068965,96.98275862068965,96.98275862068965,100
82,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,100
84,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,98.28754105046679
86,0,0,0,0,0,0,0,0,0
87,99.58333333333333,99.58333333333333,99.58333333333333,99.58333333333333,99.13419913419914,99.13419913419914,99.13419913419914,99.13419913419914,99.83157820090062
88,0,0,0,0,0,0,0,0,100
89,99.58333333333333,99.58333333333333,99.58333333333333,99.58333333333333,100,100,100,100,99.74538671882074
90,0,0,0,0,100,100,100,100,100
91,0,0,0,0,0,0,0,0,0
92,100,100,100,100,100,100,100,100,100
93,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,99.57627118644068,99.57627118644068,99.57627118644068,99.57627118644068,96.08695652173913,96.08695652173913,96.08695652173913,96.08695652173913,100
96,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,0,0,0,0,0,0,0,0,99.84961132061639
106,0,0,0,0,0,0,0,0,99.87500918345248
107,0,0,0,0,0,0,0,0,100
108,0,0,0,0,0,0,0,0,99.95809739680757
109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110,99.56709956709958,99.56709956709958,99.56709956709958,99.56709956709958,97.84482758620689,97.84482758620689,97.84482758620689,97.84482758620689,96.98275862068965
111,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,N/A,N/A,N/A,N/A,0,0,0,0,98.52941176470588
115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100
122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
143,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
